,MONEY,CARDINAL,QUANTITY,PRODUCT,ORDINAL,GPE,LANGUAGE,TIME,LOCATION,FACILITY,NORP,WORK OF ART,ORGANIZATION,DATE,PERCENT,,PERSON,EVENT,LAW
MONEY,203,5,0,0,0,0,0,0,0,0,13,1,0,0,3,0,9,0,1
CARDINAL,1,249,1,0,0,0,0,0,0,0,31,0,0,0,0,1,0,3,0
QUANTITY,0,10,25,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3
PRODUCT,0,0,0,22,3,0,0,0,0,0,2,0,7,0,1,0,0,0,2
ORDINAL,0,0,3,0,200,0,0,11,0,0,6,0,5,0,2,0,3,0,0
GPE,0,0,0,0,5,48,0,0,0,5,0,0,0,0,0,0,0,0,0
LANGUAGE,0,0,0,0,0,0,37,0,0,0,14,0,0,0,0,0,2,0,0
TIME,0,0,0,0,3,0,0,35,0,0,3,0,4,0,0,0,0,0,0
LOCATION,0,0,0,0,0,0,0,0,186,0,0,0,0,1,0,0,0,0,0
FACILITY,0,0,0,0,1,0,0,0,0,39,5,0,4,0,0,0,0,0,0
NORP,18,31,9,3,4,0,9,7,0,6,0,2,47,0,11,24,118,6,14
WORK OF ART,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
ORGANIZATION,0,1,1,25,2,0,0,0,0,1,30,0,507,0,2,12,0,0,0
DATE,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
PERCENT,4,2,0,0,0,0,0,0,0,0,20,1,2,0,265,0,10,0,4
,0,0,0,0,0,0,0,2,0,0,16,0,13,2,0,228,0,0,0
PERSON,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,49,0,0
EVENT,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,24,0
LAW,0,1,0,0,3,0,0,0,0,0,60,0,0,0,8,0,1,0,56
